Aberdeen,1
Armagh Roadside,8
Barnstaple A39,0
Belfast Centre,0
Birmingham Tyburn,7
Birmingham Tyburn Roadside,9
Bristol St Paul's,2
Camden Kerbside,7
Cardiff Centre,3
Carlisle Roadside,0
Chatham Roadside,10
Chepstow A48,4
Chesterfield,6
Chesterfield Roadside,4
Derry,1
Eastbourne,0
Edinburgh St Leonards,3
Glasgow Kerbside,4
Glasgow Townhead,0
Grangemouth,0
Haringey Roadside,0
Hull Freetown,3
Inverness,0
Leamington Spa,6
Leamington Spa Rugby Road,0
Leeds Centre,0
Leeds Headingley Kerbside,4
Leicester Centre,0
Leicester University,0
Liverpool Speke,6
London Bloomsbury,3
London Harlington,8
London Marylebone Road,21
London N. Kensington,0
Middlesbrough,5
Newcastle Centre,2
Newport,0
Norwich Lakenfields,3
Nottingham Centre,8
Oxford St Ebbes,5
Plymouth Centre,1
Port Talbot Margam,17
Portsmouth,0
Reading New Town,4
Salford Eccles,6
Saltash Callington Road,0
Sandy Roadside,0
Scunthorpe Town,17
Sheffield Centre,0
Sheffield Devonshire Green,0
Southampton Centre,2
Southwark A2 Old Kent Road,28
Stanford-le-Hope Roadside,16
Stockton-on-Tees Eaglescliffe,5
Stoke-on-Trent Centre,6
Storrington Roadside,6
Swansea Roadside,2
Thurrock,4
Warrington,7
Wrexham,0
York Bootham,3
York Fishergate,4
Aston Hill,0
Auchencorth Moss,0
Bush Estate,0
Charlton Mackrell,0
Eskdalemuir,0
Great Dun Fell,0
Harwell,0
High Muffles,0
Ladybower,0
Lerwick,0
Lough Navar,1
Lullington Heath,0
Market Harborough,0
Narberth,2
Rochester Stoke,3
Sibton,0
St Osyth,0
Strathvaich,0
Weybourne,0
Wicken Fen,0
Yarner Wood,0
